=== Resultados de búsqueda de hipertensión ===
Total de líneas analizadas: 95794
Total de líneas con hipertensión: 2050
Total de apariciones totales: 2129

Línea - Apariciones
Línea 33265: 1 vez(s)
Línea 33306: 1 vez(s)
Línea 33311: 1 vez(s)
Línea 33320: 1 vez(s)
Línea 33324: 1 vez(s)
Línea 33332: 1 vez(s)
Línea 33337: 1 vez(s)
Línea 33377: 1 vez(s)
Línea 33407: 1 vez(s)
Línea 33444: 1 vez(s)
Línea 33583: 1 vez(s)
Línea 33585: 1 vez(s)
Línea 33589: 1 vez(s)
Línea 33638: 1 vez(s)
Línea 33642: 1 vez(s)
Línea 33645: 1 vez(s)
Línea 33664: 1 vez(s)
Línea 33672: 1 vez(s)
Línea 33684: 1 vez(s)
Línea 33720: 1 vez(s)
Línea 33722: 1 vez(s)
Línea 33726: 1 vez(s)
Línea 33819: 1 vez(s)
Línea 33820: 1 vez(s)
Línea 33828: 1 vez(s)
Línea 33883: 1 vez(s)
Línea 33891: 1 vez(s)
Línea 33916: 1 vez(s)
Línea 33941: 1 vez(s)
Línea 33943: 1 vez(s)
Línea 33948: 1 vez(s)
Línea 34145: 1 vez(s)
Línea 34149: 1 vez(s)
Línea 34158: 1 vez(s)
Línea 34275: 1 vez(s)
Línea 34281: 1 vez(s)
Línea 34283: 1 vez(s)
Línea 34435: 1 vez(s)
Línea 34440: 1 vez(s)
Línea 34442: 1 vez(s)
Línea 34693: 1 vez(s)
Línea 34698: 1 vez(s)
Línea 34704: 1 vez(s)
Línea 34920: 1 vez(s)
Línea 35019: 1 vez(s)
Línea 35025: 1 vez(s)
Línea 35029: 1 vez(s)
Línea 35056: 1 vez(s)
Línea 35194: 1 vez(s)
Línea 35203: 1 vez(s)
Línea 35205: 1 vez(s)
Línea 35252: 1 vez(s)
Línea 35254: 1 vez(s)
Línea 35260: 1 vez(s)
Línea 35261: 1 vez(s)
Línea 35262: 1 vez(s)
Línea 35269: 1 vez(s)
Línea 35626: 1 vez(s)
Línea 35635: 1 vez(s)
Línea 35642: 1 vez(s)
Línea 35860: 1 vez(s)
Línea 35867: 1 vez(s)
Línea 35875: 1 vez(s)
Línea 35937: 1 vez(s)
Línea 35940: 1 vez(s)
Línea 35945: 1 vez(s)
Línea 36000: 1 vez(s)
Línea 36001: 1 vez(s)
Línea 36003: 1 vez(s)
Línea 36062: 1 vez(s)
Línea 36066: 1 vez(s)
Línea 36075: 1 vez(s)
Línea 36463: 1 vez(s)
Línea 36471: 1 vez(s)
Línea 36481: 1 vez(s)
Línea 36501: 1 vez(s)
Línea 36804: 1 vez(s)
Línea 36873: 1 vez(s)
Línea 36876: 1 vez(s)
Línea 36882: 1 vez(s)
Línea 37183: 1 vez(s)
Línea 37187: 1 vez(s)
Línea 37190: 1 vez(s)
Línea 37310: 1 vez(s)
Línea 37331: 1 vez(s)
Línea 37332: 1 vez(s)
Línea 37355: 1 vez(s)
Línea 37356: 4 vez(s)
Línea 37423: 1 vez(s)
Línea 37426: 1 vez(s)
Línea 37430: 1 vez(s)
Línea 37446: 1 vez(s)
Línea 37450: 1 vez(s)
Línea 37457: 1 vez(s)
Línea 37492: 1 vez(s)
Línea 37499: 1 vez(s)
Línea 37506: 1 vez(s)
Línea 37525: 1 vez(s)
Línea 37534: 1 vez(s)
Línea 37539: 1 vez(s)
Línea 37551: 1 vez(s)
Línea 37554: 1 vez(s)
Línea 37562: 1 vez(s)
Línea 37982: 1 vez(s)
Línea 37983: 1 vez(s)
Línea 37985: 1 vez(s)
Línea 38088: 1 vez(s)
Línea 38100: 1 vez(s)
Línea 38115: 1 vez(s)
Línea 38212: 1 vez(s)
Línea 38218: 1 vez(s)
Línea 38221: 1 vez(s)
Línea 38269: 1 vez(s)
Línea 38276: 1 vez(s)
Línea 38279: 1 vez(s)
Línea 38467: 2 vez(s)
Línea 38468: 2 vez(s)
Línea 38469: 4 vez(s)
Línea 38498: 1 vez(s)
Línea 38515: 1 vez(s)
Línea 38529: 1 vez(s)
Línea 38546: 1 vez(s)
Línea 38552: 1 vez(s)
Línea 38576: 1 vez(s)
Línea 38581: 1 vez(s)
Línea 38586: 1 vez(s)
Línea 38724: 1 vez(s)
Línea 38728: 1 vez(s)
Línea 38901: 1 vez(s)
Línea 38906: 1 vez(s)
Línea 38910: 1 vez(s)
Línea 38959: 1 vez(s)
Línea 38962: 1 vez(s)
Línea 38969: 1 vez(s)
Línea 38972: 1 vez(s)
Línea 38976: 1 vez(s)
Línea 38981: 1 vez(s)
Línea 39039: 1 vez(s)
